file_id,filename,label,expected_decision,doc_type,mode,specialty,data_strategy,source,license,notes
8a2e82fc803816d1,clinical/hematosul_hemograma.pdf,clinical,valid,exame_lab,digital,clinica_geral,real,https://www.hematosul.com.br/pdf/hemograma.pdf,uso educacional (Hematosul),documento real publicado com exemplos de laudo hematologico
cf6c799c9face387,clinical/synthetic_laudo_raiox.png,clinical,valid,laudo_imagem,digital,radiologia,self-generated,synthetic_PIL_generation,uso livre (dados sinteticos),laudo de raio-X gerado sinteticamente com PIL — paciente e medico ficticios
3f604839492a5405,clinical/synthetic_cartao_vacina.png,clinical,valid,cartao_vacina,digital,clinica_geral,self-generated,synthetic_PIL_generation,uso livre (dados sinteticos),cartao de vacinacao adulto sintetico — substituiu CISVALI que falhou no download
4b429b4af4c770b1,clinical/synthetic_evolucao_enfermagem.png,clinical,valid,evolucao,digital,enfermagem,self-generated,synthetic_PIL_generation,uso livre (dados sinteticos),evolucao de enfermagem sintetica — testa escopo amplo (COREN)
cabb00d319616e01,non_clinical/agehab_contrato_locacao.pdf,non-clinical,invalid,contrato,digital,,real,https://goias.gov.br/agehab/wp-content/uploads/sites/18/2022/03/contrato.de_.locacao.006-7a4.pdf,dominio publico (AGEHAB GO),contrato de locacao residencial - documento administrativo
574c681c25078055,non_clinical/crecims_contrato_sem_garantia.pdf,non-clinical,invalid,contrato,digital,,real,https://crecims.gov.br/docs/modelosdecontratos/contrato_de_locacao_residencial_sem_garantia.pdf,dominio publico (CRECI MS),modelo de contrato CRECI - documento administrativo
1115d0cb6e1e32a9,non_clinical/mg_nota_fiscal_modelo1.pdf,non-clinical,invalid,nota_fiscal,digital,,real,https://www.fazenda.mg.gov.br/empresas/legislacao_tributaria/files/nota_fiscal_mod_1.pdf,dominio publico (Fazenda MG),nota fiscal modelo oficial - documento administrativo
ce1777b8122bc2ce,non_clinical/camara_fatura.pdf,non-clinical,invalid,fatura,digital,,real,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2236/2022/7324344.pdf,dominio publico (Camara dos Deputados),fatura real publicada (cota parlamentar)
00ae290c7296f45e,non_clinical/synthetic_selfie.jpg,non-clinical,invalid,selfie,photo,,self-generated,https://picsum.photos (CC0),CC0,selfie/retrato substituto via picsum.photos
2d6aa4e217e73634,non_clinical/synthetic_food.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,https://picsum.photos (CC0),CC0,foto casual de comida via picsum.photos
cef69be9816e2d88,non_clinical/synthetic_pet.jpg,non-clinical,invalid,foto_casual,photo,,self-generated,https://picsum.photos (CC0),CC0,foto casual de animal via picsum.photos
971f760cbd5cb190,non_clinical/synthetic_whatsapp_print.png,non-clinical,invalid,screenshot,photo,,self-generated,synthetic_PIL_generation,uso livre,print de WhatsApp sintetico com conversa neutra
f4f290e836e9c291,non_clinical/synthetic_rg_anonimo.png,non-clinical,invalid,identidade,digital,,self-generated,synthetic_PIL_generation,uso livre (dados anonimizados),RG sintetico totalmente anonimizado (sem PII real)
8c3b72c36ec48d94,non_clinical/synthetic_recibo_supermercado.png,non-clinical,invalid,recibo,digital,,self-generated,synthetic_PIL_generation,uso livre,recibo de supermercado sintetico
e636ceedd1b5da32,ambiguous/scielo_laudo_radiologico.pdf,ambiguous,invalid,artigo_cientifico,digital,radiologia,real,https://www.scielo.br/j/rb/a/SMRvt9S64rzrRD6Ysr6jGRG/?lang=pt&format=pdf,Creative Commons (SciELO),artigo cientifico sobre laudos radiologicos - educacional/N7
b4f8cf9d47cf1db9,ambiguous/scielo_hemograma.pdf,ambiguous,invalid,artigo_cientifico,digital,clinica_geral,real,https://www.scielo.br/j/rbepid/a/79JFJqJnBqcpgFL4CHVGdxS/?format=pdf&lang=pt,Creative Commons (SciELO),artigo cientifico sobre hemograma - educacional/N7
c83cb960c8b0c6cc,ambiguous/saude_direta_manual_prescricao.pdf,ambiguous,invalid,manual_tecnico,digital,,real,https://www.saudedireta.com.br/docsupload/1333068549manualPrescricao.pdf,uso educacional,manual sobre como prescrever - documento tecnico N4 (nao e prescricao)
8075bdc36d484081,ambiguous/cfm_atestado_em_branco.pdf,ambiguous,invalid,atestado,digital,,template-blank,https://sistemas.cfm.org.br/prescricaoeletronica/arquivos/atestado_medico.pdf,uso permitido CFM,template em branco sem dados de paciente - testa criterio C2 da definicao
c14c4de5ee4386d3,ambiguous/lme_federal_fake_scan.jpg,ambiguous,valid,lme,scan,endocrinologia,fake-scan,synthetic_degradation_of_lme_PREENCHIDO,uso livre,"LME preenchido renderizado com ruido sintetico (rotacao, blur, JPEG q=55, sal-pimenta)"
e68e6a529ad5e4f6,ambiguous/encaminhamento_se_fake_scan.jpg,ambiguous,valid,encaminhamento,scan,cardiologia,fake-scan,synthetic_degradation_of_encaminhamento_PREENCHIDO,uso livre,encaminhamento preenchido com ruido sintetico
3533e8e3b38631ec,ambiguous/hematosul_hemograma_fake_scan.jpg,ambiguous,valid,exame_lab,scan,clinica_geral,fake-scan,synthetic_degradation_of_hematosul,uso livre,hemograma com ruido sintetico para simular scan ruim
2a73ddb1f03aee4d,ambiguous/cfm_atestado_com_marca_amostra.pdf,ambiguous,invalid,atestado,digital,,self-generated,synthetic_watermark_overlay,uso livre,atestado preenchido com marca dagua AMOSTRA - testa criterio N6
78ea2a152af44a0c,ambiguous/synthetic_embalagem_remedio.png,ambiguous,invalid,foto_objeto,photo,,self-generated,synthetic_PIL_generation,uso livre,embalagem de medicamento isolada - falha C1 e C2 (sem paciente)
9b604ebb30eeb895,ambiguous/synthetic_curva_febre.png,ambiguous,invalid,manuscrito,photo,,self-generated,synthetic_matplotlib_generation,uso livre,curva de febre desenhada manualmente pelo paciente - falha C3 (sem emissor)
8233832234766a24,ambiguous/synthetic_print_portal_sus.png,ambiguous,invalid,screenshot,photo,,self-generated,synthetic_PIL_generation,uso livre,print de tela do Meu SUS Digital - conteudo clinico em formato inadequado (N2)
6f0a22cd20a756d8,ambiguous/synthetic_receita_manuscrita.png,ambiguous,valid,prescricao,photo,clinica_geral,self-generated,synthetic_PIL_generation,uso livre,receita manuscrita sintetica com fonte cursiva - testa OCR vs CLIP visual
5e971786915c02b9,clinical/cfm_atestado_v1.pdf,clinical,valid,atestado,digital,endocrinologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
bc357365e0fe0491,clinical/cfm_atestado_v2.pdf,clinical,valid,atestado,digital,dermatologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
9b54e3cd65cb3ae8,clinical/cfm_atestado_v3.pdf,clinical,valid,atestado,digital,clinica_geral,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
4cf087852ffbf51e,clinical/cfm_receituario_v1.pdf,clinical,valid,prescricao,digital,neurologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
70c59463f72edef1,clinical/cfm_receituario_v2.pdf,clinical,valid,prescricao,digital,dermatologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
2a3b6f2f3088ba94,clinical/cfm_receituario_v3.pdf,clinical,valid,prescricao,digital,pediatria,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
75bad95da3b4f412,clinical/lme_federal_v1.pdf,clinical,valid,lme,digital,medicina_trabalho,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
db765846d10f9631,clinical/lme_federal_v2.pdf,clinical,valid,lme,digital,pediatria,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
8f33779974d7b300,clinical/lme_federal_v3.pdf,clinical,valid,lme,digital,neurologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
6b9a036e2088e869,clinical/encaminhamento_se_v1.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
959f53b8171491bd,clinical/encaminhamento_se_v2.pdf,clinical,valid,encaminhamento,digital,ortopedia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
9079dba282041c1f,clinical/encaminhamento_se_v3.pdf,clinical,valid,encaminhamento,digital,cardiologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
55d0b0f09e930299,clinical/goiania_laudo_pericial_v1.pdf,clinical,valid,laudo_pericial,digital,cardiologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
1c907ab07eba2f24,clinical/goiania_laudo_pericial_v2.pdf,clinical,valid,laudo_pericial,digital,medicina_trabalho,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
28d54129e60d0c8a,clinical/goiania_laudo_pericial_v3.pdf,clinical,valid,laudo_pericial,digital,endocrinologia,template-fill,template oficial CFM/MS/secretaria preenchido com dados sinteticos variados,uso permitido,"variacao com nome, data, CRM e conteudo aleatorios para diluir vies do centroide"
